FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,0,1,0,13,9,2,4,7,2,17,12,5,4,0,0,1,1,03/12/2023,Barcelona,Ath Madrid,la_liga,4,3
1,1,0,1,26,2,7,1,12,1,14,18,1,6,0,1,0,-1,04/12/2023,Celta,Cadiz,la_liga,7,6
1,0,0,0,8,3,6,0,7,0,15,14,2,4,1,2,1,0,08/12/2023,Getafe,Valencia,la_liga,11,26
0,1,0,1,19,9,5,2,12,3,13,13,3,4,0,0,-1,-1,09/12/2023,Alaves,Las Palmas,la_liga,0,16
1,1,0,0,14,12,6,2,8,6,14,7,2,1,0,0,0,0,09/12/2023,Betis,Real Madrid,la_liga,5,22
0,3,0,3,20,16,4,5,5,3,10,22,2,1,0,0,-1,-1,09/12/2023,Villarreal,Sociedad,la_liga,29,24
1,0,1,0,6,19,3,5,4,12,15,6,2,2,0,0,1,1,09/12/2023,Mallorca,Sevilla,la_liga,20,23
2,1,2,0,13,19,4,5,3,15,13,11,1,0,0,0,1,1,10/12/2023,Ath Madrid,Almeria,la_liga,3,1
1,1,1,0,12,13,5,5,2,4,15,16,1,2,0,0,0,1,10/12/2023,Cadiz,Osasuna,la_liga,6,21
2,4,1,2,31,15,11,7,8,3,7,10,1,2,0,0,-1,-1,10/12/2023,Barcelona,Girona,la_liga,4,12
1,1,0,1,7,19,4,4,1,8,9,11,0,2,0,0,0,-1,11/12/2023,Granada,Ath Bilbao,la_liga,13,2
0,0,0,0,17,4,4,2,8,1,15,10,3,0,0,0,0,0,11/12/2023,Vallecano,Celta,la_liga,28,7
1,0,0,0,10,9,4,3,9,1,20,13,2,3,0,0,1,0,15/12/2023,Osasuna,Vallecano,la_liga,21,28
1,0,1,0,11,7,4,2,7,1,20,18,6,2,1,0,1,1,16/12/2023,Celta,Granada,la_liga,7,13
2,0,0,0,16,7,7,3,3,7,7,10,0,1,0,0,1,0,16/12/2023,Ath Bilbao,Ath Madrid,la_liga,2,3
0,3,0,2,12,14,4,7,4,2,18,18,3,3,0,0,-1,-1,16/12/2023,Sevilla,Getafe,la_liga,23,11
1,1,0,0,11,16,4,8,4,6,9,11,1,2,0,0,0,0,16/12/2023,Valencia,Barcelona,la_liga,26,4
0,0,0,0,7,20,1,2,4,4,12,9,2,1,0,0,0,0,17/12/2023,Almeria,Mallorca,la_liga,1,20
0,0,0,0,12,12,4,3,3,7,12,12,3,4,0,0,0,0,17/12/2023,Sociedad,Betis,la_liga,24,5
1,1,1,0,7,13,2,5,4,6,9,12,1,3,0,0,0,1,17/12/2023,Las Palmas,Cadiz,la_liga,16,6
4,1,2,0,22,3,9,1,11,0,14,12,2,3,0,0,1,1,17/12/2023,Real Madrid,Villarreal,la_liga,22,29
3,0,2,0,9,12,4,2,3,2,9,7,0,1,0,0,1,1,18/12/2023,Girona,Alaves,la_liga,12,0
0,1,0,0,7,8,1,3,8,1,16,18,1,5,0,1,-1,0,19/12/2023,Vallecano,Valencia,la_liga,28,26
3,3,1,0,8,29,4,9,1,12,7,14,3,3,1,0,0,1,19/12/2023,Ath Madrid,Getafe,la_liga,3,11
0,3,0,2,12,12,3,5,6,4,10,18,2,1,0,0,-1,-1,19/12/2023,Granada,Sevilla,la_liga,13,23
3,2,1,1,30,10,11,5,12,0,16,9,3,3,0,0,1,0,20/12/2023,Barcelona,Almeria,la_liga,4,1
1,0,0,0,19,5,10,1,5,2,12,11,1,3,0,0,1,0,20/12/2023,Ath Bilbao,Las Palmas,la_liga,2,16
3,2,2,0,12,15,8,5,4,7,16,15,2,4,0,0,1,1,20/12/2023,Villarreal,Celta,la_liga,29,7
1,1,0,1,21,12,4,4,7,6,6,9,2,2,0,0,0,-1,21/12/2023,Betis,Girona,la_liga,5,12
0,0,0,0,10,8,2,1,7,5,16,15,3,1,0,0,0,0,21/12/2023,Cadiz,Sociedad,la_liga,6,24
0,1,0,0,8,9,2,4,3,3,18,13,3,1,0,1,-1,0,21/12/2023,Alaves,Real Madrid,la_liga,0,22
3,2,1,1,15,12,8,7,6,0,11,12,3,1,0,0,1,0,21/12/2023,Mallorca,Osasuna,la_liga,20,21
1,0,0,0,12,8,4,2,6,5,12,19,7,3,1,0,1,0,23/12/2023,Ath Madrid,Sevilla,la_liga,3,23
0,2,0,1,5,12,0,8,2,3,16,16,6,3,2,0,-1,-1,02/01/2024,Getafe,Vallecano,la_liga,11,28
1,1,0,0,16,7,6,2,6,4,9,17,4,4,1,0,0,0,02/01/2024,Sociedad,Alaves,la_liga,24,0
3,1,2,0,11,8,8,4,4,3,12,15,2,5,0,0,1,1,02/01/2024,Valencia,Villarreal,la_liga,26,29
2,0,1,0,15,15,8,2,5,6,17,16,3,4,0,1,1,1,03/01/2024,Granada,Cadiz,la_liga,13,6
2,1,1,1,19,14,6,3,8,7,10,12,0,2,0,0,1,0,03/01/2024,Celta,Betis,la_liga,7,5
1,0,0,0,17,7,5,0,5,4,5,15,2,3,0,0,1,0,03/01/2024,Real Madrid,Mallorca,la_liga,22,20
