FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
2,1,0,0,13,14,6,7,3,6,13,9,2,1,1,0,1,0,22/11/2019,Levante,Mallorca,la_liga,11,12
1,2,1,0,9,11,4,6,0,6,11,10,1,2,0,0,-1,1,23/11/2019,Leganes,Barcelona,la_liga,10,3
2,1,1,1,25,9,8,3,5,4,9,13,2,2,0,0,1,0,23/11/2019,Betis,Valencia,la_liga,4,17
1,1,0,0,9,17,3,6,2,8,15,17,4,3,0,0,0,0,23/11/2019,Granada,Ath Madrid,la_liga,9,2
3,1,1,1,18,11,10,6,4,3,13,16,1,1,0,0,1,0,23/11/2019,Real Madrid,Sociedad,la_liga,14,16
1,1,1,1,6,11,2,2,3,3,23,12,3,4,0,0,0,0,24/11/2019,Espanol,Getafe,la_liga,7,8
1,2,0,1,12,6,7,4,6,2,15,18,4,3,0,0,-1,-1,24/11/2019,Osasuna,Ath Bilbao,la_liga,13,1
0,2,0,0,18,7,7,5,10,4,10,11,1,2,0,0,-1,0,24/11/2019,Eibar,Alaves,la_liga,6,0
1,3,0,0,15,11,1,7,8,2,12,9,3,2,0,0,-1,0,24/11/2019,Villarreal,Celta,la_liga,19,5
0,1,0,1,7,4,1,2,8,4,13,25,3,4,0,1,-1,-1,24/11/2019,Valladolid,Sevilla,la_liga,18,15
0,0,0,0,13,9,5,2,11,3,11,17,1,3,0,0,0,0,29/11/2019,Celta,Valladolid,la_liga,5,18
1,2,0,0,8,12,2,6,9,4,18,11,4,3,0,0,-1,0,30/11/2019,Alaves,Real Madrid,la_liga,0,14
4,1,1,1,15,10,4,4,6,4,8,12,1,4,0,0,1,0,30/11/2019,Sociedad,Eibar,la_liga,16,6
1,2,0,2,16,15,7,3,6,5,16,15,3,4,1,0,-1,-1,30/11/2019,Mallorca,Betis,la_liga,12,4
2,1,0,0,13,24,7,7,6,4,8,17,1,2,0,0,1,0,30/11/2019,Valencia,Villarreal,la_liga,17,19
1,0,0,0,16,8,8,4,7,4,16,7,3,3,0,0,1,0,01/12/2019,Sevilla,Leganes,la_liga,15,10
2,0,1,0,14,8,6,1,4,3,18,16,5,4,0,0,1,1,01/12/2019,Ath Bilbao,Granada,la_liga,1,9
2,4,1,0,12,14,5,8,2,3,12,16,1,4,0,1,-1,1,01/12/2019,Espanol,Osasuna,la_liga,7,13
4,0,0,0,13,7,9,2,6,7,22,14,2,3,0,0,1,0,01/12/2019,Getafe,Levante,la_liga,8,11
0,1,0,0,17,13,2,5,9,5,12,11,4,4,0,0,-1,0,01/12/2019,Ath Madrid,Barcelona,la_liga,2,3
0,0,0,0,23,18,3,3,11,6,11,11,2,1,0,0,0,0,06/12/2019,Villarreal,Ath Madrid,la_liga,19,2
2,0,1,0,18,6,8,2,5,3,15,13,4,3,1,0,1,1,07/12/2019,Real Madrid,Espanol,la_liga,14,7
3,0,0,0,13,5,3,1,6,2,16,17,1,4,0,2,1,0,07/12/2019,Granada,Alaves,la_liga,9,0
2,4,2,1,17,10,6,6,5,1,14,14,5,2,1,0,-1,1,07/12/2019,Levante,Valencia,la_liga,11,17
5,2,4,1,25,9,17,3,8,4,15,10,3,0,0,0,1,1,07/12/2019,Barcelona,Mallorca,la_liga,3,12
0,1,0,0,6,6,3,3,3,8,16,15,5,1,1,0,-1,0,08/12/2019,Eibar,Getafe,la_liga,6,8
3,2,3,1,10,8,6,2,3,3,12,15,2,4,0,0,1,1,08/12/2019,Betis,Ath Bilbao,la_liga,4,1
0,0,0,0,4,16,2,2,1,4,10,19,0,4,0,0,0,0,08/12/2019,Valladolid,Sociedad,la_liga,18,16
3,2,2,0,15,9,8,4,3,5,14,11,3,3,0,1,1,1,08/12/2019,Leganes,Celta,la_liga,10,5
1,1,1,1,10,13,1,4,2,6,22,10,4,4,1,0,0,0,08/12/2019,Osasuna,Sevilla,la_liga,13,15
1,1,0,1,10,3,3,1,2,0,14,17,2,3,0,0,0,-1,13/12/2019,Alaves,Leganes,la_liga,0,10
1,2,0,0,18,13,4,6,8,6,14,12,4,3,0,0,-1,0,14/12/2019,Granada,Levante,la_liga,9,11
2,2,1,1,19,9,5,5,8,5,7,8,0,1,0,0,0,0,14/12/2019,Sociedad,Barcelona,la_liga,16,3
0,0,0,0,8,8,3,2,6,7,7,12,3,3,0,0,0,0,14/12/2019,Ath Bilbao,Eibar,la_liga,1,6
2,0,0,0,19,15,9,3,6,5,16,10,2,1,0,0,1,0,14/12/2019,Ath Madrid,Osasuna,la_liga,2,13
2,0,1,0,7,10,3,3,4,3,28,10,3,3,0,0,1,1,15/12/2019,Getafe,Valladolid,la_liga,8,18
2,2,1,1,18,8,7,2,3,3,14,16,3,5,0,1,0,0,15/12/2019,Celta,Mallorca,la_liga,5,12
2,2,2,1,16,10,4,5,7,5,26,13,4,1,0,0,0,1,15/12/2019,Espanol,Betis,la_liga,7,4
1,2,0,1,24,9,5,3,14,2,12,11,2,0,0,0,-1,-1,15/12/2019,Sevilla,Villarreal,la_liga,15,19
1,1,0,0,9,19,6,6,1,2,11,15,1,2,0,0,0,0,15/12/2019,Valencia,Real Madrid,la_liga,17,14
